face	n_total	n_quadrants	quadrants	per_quadrant_n	classifier_acc	classifier_std	majority_acc	null_q95	separates	fig
(≧‿≦)	101	8	HB,HN-D,HN-S,HP-D,HP-S,LP,NB,NP	HB:15; HN-D:12; HN-S:10; HP-D:13; HP-S:17; LP:14; NB:9; NP:11	0.9204761904761904	0.06804027085520666	0.16831683168316833	0.2039761904761904	True	
(✿◠‿◠)	87	7	HB,HP-D,HP-S,LN,LP,NB,NP	HB:5; HP-D:7; HP-S:27; LN:4; LP:14; NB:10; NP:20	0.8268398268398268	0.05275349613399974	0.3103448275862069	0.3395833333333333	True	
(＾‿＾)	79	7	HB,HN-S,HP-D,HP-S,LP,NB,NP	HB:14; HN-S:3; HP-D:17; HP-S:10; LP:6; NB:11; NP:18	0.9240265906932574	0.031432420063504996	0.22784810126582278	0.2663817663817664	True	
(・_・)	77	7	HB,HN-D,HN-S,HP-D,HP-S,LN,NB	HB:12; HN-D:11; HN-S:11; HP-D:12; HP-S:4; LN:16; NB:11	0.831578947368421	0.04144214670532531	0.2077922077922078	0.25490131578947367	True	
(ᵔᴥᵔ)	66	7	HB,HN-D,HN-S,HP-D,HP-S,LN,LP	HB:9; HN-D:17; HN-S:11; HP-D:4; HP-S:8; LN:14; LP:3	0.7727272727272728	0.06428243465332255	0.25757575757575757	0.3416666666666666	True	
(・̀‿・́)	62	9	HB,HN-D,HN-S,HP-D,HP-S,LN,LP,NB,NP	HB:10; HN-D:10; HN-S:6; HP-D:8; HP-S:8; LN:5; LP:7; NB:5; NP:3	0.7722222222222221	0.0885836596208728	0.16129032258064516	0.1929365079365079	True	
(´ω`)	55	7	HB,HN-D,HN-S,HP-D,HP-S,LN,NP	HB:10; HN-D:9; HN-S:8; HP-D:7; HP-S:4; LN:10; NP:7	0.7788461538461539	0.1583130467473807	0.18181818181818182	0.2280906593406593	True	
(╯°□°)	48	6	HB,HN-D,HN-S,HP-D,HP-S,LN	HB:5; HN-D:15; HN-S:12; HP-D:3; HP-S:3; LN:10	0.75	0.05103103630798288	0.3125	0.3541666666666667	True	
(・̀ω・́)	45	7	HB,HN-S,HP-D,LN,LP,NB,NP	HB:6; HN-S:4; HP-D:10; LN:4; LP:5; NB:7; NP:9	0.7386363636363638	0.1520350927302233	0.2222222222222222	0.25662878787878785	True	
(・‿・)	44	4	HB,LP,NB,NP	HB:3; LP:8; NB:10; NP:23	0.8650793650793651	0.052501064789019766	0.5227272727272727	0.546031746031746	True	
(◕‿◕✿)	41	5	HB,HP-D,HP-S,LP,NB	HB:11; HP-D:6; HP-S:6; LP:7; NB:11	0.925	0.09999999999999999	0.2682926829268293	0.35513888888888884	True	
