first_word	n_emit	claude_emit	category	surface	bol_quadrant	gt_quadrant	bol_share_HP-D	bol_share_HP-S	bol_share_LP	bol_share_NP	bol_share_HN-D	bol_share_HN-S	bol_share_LN	bol_share_NB	bol_share_HB	gt_share_HP-D	gt_share_HP-S	gt_share_LP	gt_share_NP	gt_share_HN-D	gt_share_HN-S	gt_share_LN	gt_share_NB	gt_share_HB
(◕‿◕)	1699	1593	shared	claude_ai	NP	NP	0.0006	0.0362	0.0	0.9632	0.0	0.0	0.0	0.0	0.0	0.0278	0.2639	0.2083	0.4167	0.0	0.0	0.0	0.0833	0.0
(・̀‿・́)	578	484	shared	claude_ai	NP	HP-D	0.0	0.4639	0.0	0.4966	0.0	0.0	0.0	0.0258	0.0137	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
(・‿・)	576	548	shared	claude_ai	NP	NB	0.0	0.0556	0.0	0.9444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333	0.0	0.0	0.0	0.6667	0.0
(`・ω・´)	321	106	shared	claude_ai	NP	NB	0.0024	0.132	0.0	0.7579	0.0	0.0	0.0	0.0929	0.0147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
(◕‿◕✿)	283	257	shared	claude_ai	HP-S	NP	0.0	0.5644	0.0	0.4356	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.36	0.4	0.0	0.0	0.0	0.08	0.0
(◕_◕)	212	192	shared	claude_ai	HB	HB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
(´｡・‿・｡`)	190	164	shared	claude_ai	NP	LP	0.0	0.0663	0.0	0.9337	0.0	0.0	0.0	0.0	0.0	0.0263	0.0	0.4211	0.1842	0.0	0.0	0.2895	0.0789	0.0
(´・ω・`)	187	157	shared	claude_ai	NP	NB	0.0	0.0038	0.2932	0.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833	0.375	0.4583	0.0833
(｡・̀‿-)	180	154	shared	claude_ai	HB	HP-D	0.0	0.117	0.0053	0.0479	0.0	0.0	0.0	0.0	0.8298	0.3667	0.0333	0.0333	0.2667	0.0	0.0	0.0	0.3	0.0
(・_・)	137	108	shared	claude_ai	NP	NB	0.0	0.0	0.0	0.3724	0.0	0.0069	0.0	0.3724	0.2483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9524	0.0476
(◠‿◠)	132	124	shared	claude_ai	NP	NP	0.0	0.0303	0.0	0.5	0.0	0.0	0.0	0.4697	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
(´∀`)	102	82	shared	claude_ai	HP-S	LP	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7143	0.2857	0.0	0.0	0.0	0.0	0.0
(｡・‿・｡)	102	92	shared	claude_code	NP	LP	0.0	0.049	0.0	0.5	0.0	0.0	0.0	0.451	0.0	0.0769	0.0769	0.5385	0.2308	0.0	0.0	0.0	0.0769	0.0
(๑・̀ㅂ・́)	98	80	wild_claude	claude_ai	NP		0.0	0.0	0.0	0.8776	0.0	0.0	0.0	0.1224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・ω・)	98	84	shared	claude_ai	NB	NB	0.0	0.0	0.0	0.2041	0.0	0.0	0.0	0.398	0.398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
(＾▽＾)	98	18	shared	claude_code	NP	NB	0.0306	0.1327	0.0	0.8367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0
(¬‿¬)	85	40	shared	claude_ai	HP-D	HP-D	0.4419	0.0233	0.0	0.1163	0.1744	0.0	0.2442	0.0	0.0	0.7692	0.0	0.0	0.0769	0.0	0.0	0.0	0.1099	0.044
(・∀・)	70	54	shared	claude_ai	NP	NB	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.1111	0.0	0.0	0.0	0.0	0.1111	0.0	0.7778	0.0
(・_・;)	65	51	shared	claude_ai	HB	HB	0.0	0.0	0.0	0.0615	0.0	0.0	0.0615	0.0	0.8769	0.1047	0.0	0.0	0.0	0.0	0.1047	0.0	0.2326	0.5581
(ง・̀_・́)	64	48	wild_claude	claude_code	HP-S		0.0156	0.8281	0.0	0.0	0.0781	0.0	0.0	0.0	0.0781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
