face	n_total	n_quadrants	quadrants	per_quadrant_n	classifier_acc	classifier_std	majority_acc	null_q95	separates	fig
(⊙_⊙)	234	5	HB,HN-D,HN-S,HP-D,NB	HB:121; HN-D:14; HN-S:65; HP-D:23; NB:11	1.0	0.0	0.5170940170940171	0.521836262719704	True	
(｡・́︿・̀｡)	166	3	HN-D,HN-S,LN	HN-D:6; HN-S:47; LN:113	1.0	0.0	0.6807228915662651	0.6812566844919785	True	
(╯°□°)	151	3	HB,HN-D,HN-S	HB:20; HN-D:123; HN-S:8	1.0	0.0	0.8145695364238411	0.827741935483871	True	
(๑˃‿˂)	103	3	HP-D,HP-S,NP	HP-D:25; HP-S:67; NP:11	0.9904761904761905	0.019047619047619067	0.6504854368932039	0.6554523809523809	True	
(˙꒳˙)	53	3	HB,NB,NP	HB:4; NB:46; NP:3	0.9618736383442266	0.026992400203407124	0.8679245283018868	0.8496732026143791	True	
(・_・)	53	3	HB,HN-S,NB	HB:4; HN-S:5; NB:44	0.9807692307692308	0.03330866937632454	0.8301886792452831	0.4739010989010989	True	
(｡♥‿♥｡)	49	4	HP-D,HP-S,LP,NP	HP-D:7; HP-S:4; LP:16; NP:22	0.9375	0.10825317547305482	0.4489795918367347	0.44799679487179483	True	
(｡◕‿◕｡)	46	3	LP,NB,NP	LP:6; NB:15; NP:25	1.0	0.0	0.5434782608695652	0.6046666666666667	True	
(˘▽˘)	42	2	HP-S,NP	HP-S:9; NP:33	0.9277777777777778	0.05918687709072922	0.7857142857142857	0.809861111111111	True	
(‿‿‿)	35	3	LP,NB,NP	LP:15; NB:12; NP:8	1.0	0.0	0.42857142857142855	0.5457142857142855	True	
(´▽`)	32	2	LP,NP	LP:22; NP:10	0.8714285714285713	0.12380952380952383	0.6875	0.7169047619047618	True	
(｡˃‿˂)	26	3	HP-D,HP-S,NP	HP-D:3; HP-S:14; NP:9	0.9583333333333334	0.05892556509887896	0.5384615384615384	0.599074074074074	True	
(✿◠‿◠)	10	3	HP-S,LP,NP	HP-S:4; LP:3; NP:3	0.8888888888888888	0.15713484026367724	0.4	0.644444444444444	True	
(ﾟ▽ﾟ)	9	2	HP-S,NP	HP-S:5; NP:4	0.875	0.21650635094610965	0.5555555555555556	0.6291666666666664	True	
(╥﹏╥)	6	2	HN-S,HP-S	HN-S:3; HP-S:3	0.5	0.0	0.5	0.5	False	
