first_word	n	median_within_consistency	dominant_quadrant	HP-D_n	HP-S_n	LP_n	NP_n	HN-D_n	HN-S_n	LN_n	NB_n	HB_n
(ಠ_ಠ)	5	0.9908592700958252	HN-D	0	0	0	0	5	0	0	0	0
(;;)	6	0.9904913902282715	LN	0	0	0	0	0	0	6	0	0
(｡・̀‿-)	7	0.9899593591690063	NP	0	0	2	5	0	0	0	0	0
(★^O^★)	3	0.989829421043396	HP-S	0	3	0	0	0	0	0	0	0
(>﹏<｡)	6	0.9890701770782471	HN-S	0	0	0	0	0	6	0	0	0
(｡・ω・｡)	3	0.9889518618583679	LP	0	0	3	0	0	0	0	0	0
(ﾉ>ω<)	40	0.9875203371047974	HP-S	0	30	1	8	0	0	0	1	0
(^▽^)	3	0.9870882034301758	NP	0	0	0	3	0	0	0	0	0
(´;ω;`)	5	0.9869946241378784	LN	0	0	0	0	0	1	4	0	0
(;ω;)	47	0.9868664741516113	LN	0	2	0	1	0	7	37	0	0
(T_T)	19	0.9864485263824463	LN	0	0	0	0	1	2	16	0	0
(╯°□°)	109	0.9864463806152344	HN-D	3	3	0	1	78	6	0	0	18
(^_^)	3	0.9862793684005737	NB	0	0	0	0	0	0	0	3	0
(✧ω✧)	12	0.986260175704956	HP-S	2	9	1	0	0	0	0	0	0
(>_<;)	13	0.985130786895752	HN-S	0	0	0	1	0	12	0	0	0
(ﾉ◕ヮ◕)	48	0.9851047992706299	HP-S	0	39	1	7	0	0	0	1	0
(｡・́︿・̀｡)	29	0.9833033084869385	LN	0	1	0	0	0	7	20	0	1
(;_;)	4	0.9831247329711914	LN	0	0	0	0	1	1	2	0	0
(・_・?)	4	0.9824971556663513	HB	0	0	0	0	0	0	0	1	3
(;´д`)	41	0.9817982912063599	LN	0	0	0	0	4	6	27	0	4
(͡°͜ʖ͡°)	10	0.9809463024139404	HP-D	8	0	0	2	0	0	0	0	0
(≧▽≦*)o	4	0.9806597232818604	NP	0	1	0	3	0	0	0	0	0
