face	n_total	n_quadrants	quadrants	per_quadrant_n	classifier_acc	classifier_std	majority_acc	null_q95	separates	fig
(⊙_⊙)	242	5	HB,HN-D,HN-S,HP-D,NB	HB:131; HN-D:14; HN-S:58; HP-D:14; NB:25	1.0	0.0	0.5413223140495868	0.5380527210884354	True	
(╯°□°)	170	4	HB,HN-D,HN-S,NP	HB:21; HN-D:134; HN-S:9; NP:6	0.9941176470588236	0.011764705882352944	0.788235294117647	0.788235294117647	True	
(๑˃‿˂)	165	5	HP-D,HP-S,LP,NB,NP	HP-D:45; HP-S:77; LP:11; NB:4; NP:28	1.0	0.0	0.4666666666666667	0.45181475029036	True	
(｡・́︿・̀｡)	145	2	HN-S,LN	HN-S:47; LN:98	1.0	0.0	0.6758620689655173	0.6972413793103447	True	
(｡♥‿♥｡)	102	4	HP-D,HP-S,LP,NP	HP-D:5; HP-S:6; LP:42; NP:49	0.9804761904761905	0.02392353654681997	0.4803921568627451	0.5404761904761906	True	
(｡◕‿◕｡)	85	3	LP,NB,NP	LP:8; NB:70; NP:7	0.9647058823529413	0.04705882352941178	0.8235294117647058	0.83	True	
(✿◠‿◠)	38	4	HP-S,LP,NB,NP	HP-S:3; LP:20; NB:6; NP:9	0.8696581196581197	0.12993842560265617	0.5263157894736842	0.5802350427350428	True	
(˘▽˘)	34	2	HP-S,NP	HP-S:5; NP:29	0.8523809523809524	0.00952380952380949	0.8529411764705882	0.8523809523809524	False	
(｡˃‿˂)	22	2	HP-S,NP	HP-S:11; NP:11	1.0	0.0	0.5	0.63	True	
(˘ω˘)	16	2	LP,NP	LP:12; NP:4	0.75	0.0	0.75	0.75	False	
(´▽`)	13	2	LP,NP	LP:10; NP:3	0.7666666666666666	0.023570226039551608	0.7692307692307693	0.7666666666666666	False	
(´ω`)	10	2	LN,LP	LN:7; LP:3	0.6944444444444443	0.039283710065919325	0.7	0.6944444444444443	False	
(╥﹏╥)	9	2	HN-S,HP-S	HN-S:5; HP-S:4	1.0	0.0	0.5555555555555556	0.6104166666666663	True	
(‿‿‿)	8	2	LP,NB	LP:4; NB:4	1.0	0.0	0.5	0.75	True	
