run_index	quadrant	n	n_unique_faces	non_emission_rate	modal_face	modal_count	modal_share	top5_faces	top5_counts
0	HB	20	7	0.000	(・_・;)	8	0.400	(・_・;)|(¬_¬;)|(¬_¬)|(╯°□°)|(¬‿¬)	8|4|3|2|1
0	HN-D	19	4	0.000	(╬ಠ益ಠ)	10	0.526	(╬ಠ益ಠ)|(╯°□°)|(╬Ò﹏Ó)|(´°̥̥̥̥̥̥	10|4|4|1
0	HN-S	19	9	0.000	(｡・́︿・̀｡)	4	0.211	(｡・́︿・̀｡)|(╯°□°)|(´・_・`)|(((;°д°)))|(°□°;)	4|3|2|2|2
0	HP	17	11	0.000	(°〇°)	4	0.235	(°〇°)|(ノ◕ヮ◕)|(>﹏<)|(≧▽≦)|＼(^o^)	4|4|1|1|1
0	HP-D	20	6	0.000	(¬‿¬)	12	0.600	(¬‿¬)|(≧▽≦)|(｡◕‿◕｡)|(¬_¬;)|(・_・;)	12|3|2|1|1
0	LN	20	10	0.000	(´-`)	6	0.300	(´-`)|(´｡・‿・｡`)|(´・_・`)|(´;ω;`)|(;╹⌓╹)	6|3|3|2|1
0	LP	19	14	0.000	(｡・ω・｡)	3	0.158	(｡・ω・｡)|(´｡・‿・｡`)|(◕‿◕✿)|(｡♥‿♥｡)|(｡˘-˘｡)	3|2|2|2|1
0	NB	18	12	0.000	(｡・ω・｡)	3	0.167	(｡・ω・｡)|(¬‿¬)|(・ω・)|(｡・̀‿-)|(・_・;)	3|2|2|2|2
0	NP	20	13	0.000	(◕‿◕)	6	0.300	(◕‿◕)|(´▽`)|(｡♥‿♥｡)|(ノ◕ヮ◕)|(´｡・ω・｡`)	6|2|2|1|1
1	HB	20	8	0.000	(¬_¬;)	7	0.350	(¬_¬;)|(・_・;)|(╯°□°)|(¬_¬)|(｡・́︿・̀｡)	7|5|2|2|1
1	HN-D	19	4	0.000	(╬ಠ益ಠ)	9	0.474	(╬ಠ益ಠ)|(╯°□°)|(╬Ò﹏Ó)|(｡・́︿・̀｡)	9|6|3|1
1	HN-S	19	11	0.000	(｡・́︿・̀｡)	4	0.211	(｡・́︿・̀｡)|(╥﹏╥)|(´·_·`)|(>﹏<)|(╬Ò﹏Ó)	4|3|2|2|2
1	HP	17	10	0.000	(ノ◕ヮ◕)	5	0.294	(ノ◕ヮ◕)|(((o(*ﾟ▽ﾟ|(｡♥‿♥｡)|(♡˙︶˙♡)|(^ω^)	5|3|2|1|1
1	HP-D	20	10	0.000	(¬‿¬)	9	0.450	(¬‿¬)|(｡◕‿◕｡)|(≧▽≦)|(｡・̀‿-)|(・_・ヘ)	9|2|2|1|1
1	LN	20	8	0.000	(´-`)	5	0.250	(´-`)|(´;ω;`)|(´・_・`)|(´｡・‿・｡`)|(´｡_｡`)	5|4|4|3|1
1	LP	19	15	0.053	(｡・ω・｡)	3	0.158	(｡・ω・｡)|(´｡・‿・｡`)|(◕‿◕)|(´ω`♡)|(｡-ω-)	3|2|2|1|1
1	NB	18	13	0.000	(・ω・)	3	0.167	(・ω・)|(｡・ω・｡)|(・_・;)|(・_・?)|(^‿^)	3|2|2|2|1
1	NP	20	14	0.000	(◕‿◕)	5	0.250	(◕‿◕)|(◕‿◕✿)|(｡・̀‿-)|(★^O^★)|(´‿`)	5|2|2|1|1
2	HB	20	8	0.000	(・_・;)	6	0.300	(・_・;)|(¬_¬;)|(¬_¬)|(╯°□°)|(⊙_⊙;)	6|4|3|2|2
2	HN-D	19	4	0.000	(╬ಠ益ಠ)	7	0.368	(╬ಠ益ಠ)|(╬Ò﹏Ó)|(╯°□°)|(´・︿・`)	7|6|5|1
2	HN-S	19	10	0.000	(╯°□°)	6	0.316	(╯°□°)|(｡・́︿・̀｡)|(°□°;)|(´;ω;`)|(・́︿・̀)	6|4|2|1|1
2	HP	17	13	0.000	(ノ◕ヮ◕)	3	0.176	(ノ◕ヮ◕)|(°〇°)|(◕‿◕)|(♡‿♡)|(≧▽≦)	3|2|2|1|1
2	HP-D	20	10	0.000	(¬‿¬)	9	0.450	(¬‿¬)|(｡♥‿♥｡)|(・̀‿・́)|(｡◕‿◕｡)|(≧▽≦)	9|3|1|1|1
2	LN	20	9	0.000	(´;ω;`)	5	0.250	(´;ω;`)|(´-`)|(｡・́︿・̀｡)|(´・_・`)|(´-ω-`)	5|5|3|2|1
2	LP	19	16	0.000	(◕‿◕)	2	0.105	(◕‿◕)|(｡-ω-)|(｡・‿・｡)|(´｡・ω・｡`)|(´▽`)	2|2|2|1|1
2	NB	18	11	0.000	(・ω・)	3	0.167	(・ω・)|(｡・̀‿-)|(´・ω・`)|(¬‿¬)|(｡・ω・｡)	3|2|2|2|2
2	NP	20	15	0.000	(◕‿◕)	3	0.150	(◕‿◕)|(｡♥‿♥｡)|(｡・̀‿-)|(✿◕‿◕)|(˘̩╭╮˘̩)	3|3|2|1|1
3	HB	20	9	0.000	(・_・;)	6	0.300	(・_・;)|(¬_¬;)|(¬_¬)|(╯°□°)|(｡・́︿・̀｡)	6|4|4|1|1
3	HN-D	19	3	0.000	(╯°□°)	8	0.421	(╯°□°)|(╬ಠ益ಠ)|(╬Ò﹏Ó)	8|7|4
3	HN-S	19	11	0.000	(｡・́︿・̀｡)	3	0.158	(｡・́︿・̀｡)|(╬Ò﹏Ó)|(((;°д°)))|(°□°;)|(╯°□°)	3|3|2|2|2
3	HP	17	9	0.000	＼(≧▽≦)	4	0.235	＼(≧▽≦)|(◕‿◕)|(ノ◕ヮ◕)|(>∀<☆)|(≧▽≦)	4|3|3|2|1
3	HP-D	20	9	0.000	(¬‿¬)	8	0.400	(¬‿¬)|(≧▽≦)|(｡◕‿◕｡)|(｡・̀‿-)|(｡◕‿‿◕｡)	8|4|2|1|1
3	LN	20	10	0.000	(´;ω;`)	5	0.250	(´;ω;`)|(´-`)|(´-ω-`)|(´・ω・`)|(´｡・‿・｡`)	5|4|2|2|2
3	LP	19	12	0.000	(´｡・‿・｡`)	3	0.158	(´｡・‿・｡`)|(｡♥‿♥｡)|(｡◕‿◕｡)|(´˘`)|(´▽`)	3|3|2|2|2
3	NB	18	10	0.000	(・ω・)	4	0.222	(・ω・)|(｡・̀‿-)|(・_・;)|(´・ω・`)|(・∀・)	4|3|3|2|1
3	NP	20	17	0.000	(◕‿◕)	3	0.150	(◕‿◕)|(｡♥‿♥｡)|(ノ◕ヮ◕)|(´;ω;`)|(＾▽＾)	3|2|1|1|1
4	HB	20	9	0.000	(・_・;)	7	0.350	(・_・;)|(¬_¬)|(╯°□°)|(¬_¬;)|(¬‿¬)	7|3|3|2|1
4	HN-D	19	4	0.000	(╯°□°)	9	0.474	(╯°□°)|(╬ಠ益ಠ)|(╬Ò﹏Ó)|(´・̥ω・̥`)	9|5|4|1
4	HN-S	19	12	0.000	(╬Ò﹏Ó)	4	0.211	(╬Ò﹏Ó)|(｡・́︿・̀｡)|(°□°;)|(╥﹏╥)|(;´д`)	4|3|2|2|1
4	HP	17	13	0.000	(>∀<☆)	2	0.118	(>∀<☆)|(ノ◕ヮ◕)|(≧‿≦)|(♡‿♡)|(◕‿◕)	2|2|2|2|1
4	HP-D	20	8	0.000	(¬‿¬)	8	0.400	(¬‿¬)|(｡・̀‿-)|(｡◕‿◕｡)|(≧▽≦)|(¬_¬;)	8|4|2|2|1
4	LN	20	9	0.000	(´-`)	7	0.350	(´-`)|(´;ω;`)|(｡・́︿・̀｡)|(´・ω・`)|(´・_・`)	7|3|2|2|2
4	LP	19	14	0.000	(｡◕‿◕｡)	4	0.211	(｡◕‿◕｡)|(｡・ω・｡)|(´｡・‿・｡`)|(｡˃‿˂)|(｡♥‿♥｡)	4|2|2|1|1
4	NB	18	13	0.000	(・_・)	2	0.111	(・_・)|(｡・ω・｡)|(・_・;)|(・∀・)|(｡・̀‿-)	2|2|2|2|2
4	NP	20	15	0.000	(¬‿¬)	2	0.100	(¬‿¬)|(｡♥‿♥｡)|(｡・́︿・̀｡)|(‿‿‿✿)|(>∀<☆)	2|2|2|2|2
5	HB	20	9	0.000	(・_・;)	5	0.250	(・_・;)|(¬_¬)|(╯°□°)|(¬_¬;)|(´｡・ω・｡`)	5|4|3|3|1
5	HN-S	19	12	0.000	(｡・́︿・̀｡)	3	0.158	(｡・́︿・̀｡)|(╥﹏╥)|(°□°;)|(╯°□°)|(╬Ò﹏Ó)	3|2|2|2|2
5	HP	17	12	0.059	(ノ◕ヮ◕)	4	0.235	(ノ◕ヮ◕)|(◕‿◕)|＼(≧▽≦)|(♡˃͈̑‿|(◎_◎;)	4|2|2|1|1
5	HP-D	20	8	0.000	(¬‿¬)	8	0.400	(¬‿¬)|(｡・̀‿-)|(｡◕‿◕｡)|(≧▽≦)|(・_・;)	8|3|2|2|2
5	LN	20	8	0.000	(´;ω;`)	7	0.350	(´;ω;`)|(´-`)|(´・_・`)|(´-_-`)|(´｡・‿・｡`)	7|6|2|1|1
5	LP	19	10	0.000	(｡♥‿♥｡)	3	0.158	(｡♥‿♥｡)|(´｡・‿・｡`)|(｡◕‿◕｡)|(｡˘³˘)|(｡・ω・｡)	3|3|3|2|2
5	NB	18	12	0.000	(・ω・)	3	0.167	(・ω・)|(・_・)|(・_・?)|(｡♥‿♥｡)|(◕‿◕)	3|3|2|2|1
5	NP	20	14	0.000	(◕‿◕)	5	0.250	(◕‿◕)|(｡・́︿・̀｡)|(´｡・‿・｡`)|(ノ◕ヮ◕)|(´▽`)	5|2|2|1|1
6	HB	20	8	0.000	(・_・;)	6	0.300	(・_・;)|(¬_¬)|(╯°□°)|(¬_¬;)|(⊙_⊙;)	6|5|2|2|2
