first_word	n	median_within_consistency	dominant_quadrant	HP-D_n	HP-S_n	LP_n	NP_n	HN-D_n	HN-S_n	LN_n	NB_n	HB_n
(>_<)	5	0.9986106753349304	HN-D	0	0	0	0	4	1	0	0	0
(>‿◠)	3	0.9979177117347717	HN-S	0	0	0	0	0	2	1	0	0
(✿◕‿◕✿)	3	0.9978355169296265	LP	0	0	2	0	0	0	0	1	0
(ﾟ◕_◕)	3	0.9975982308387756	HP-D	2	0	0	0	0	0	0	0	1
(✿‿❀)	3	0.9975433349609375	HP-S	0	3	0	0	0	0	0	0	0
(⁄⁂⁄)	3	0.9974132180213928	NP	1	0	0	1	0	0	0	0	1
(　´∀`　)	4	0.997233510017395	HN-S	1	0	0	0	0	2	1	0	0
(ᵒ̌ᴥᵒ̌)	12	0.9972019195556641	LN	0	0	0	0	1	1	6	0	4
(´▽`っ)	3	0.9971375465393066	NP	1	0	0	2	0	0	0	0	0
(ᵔㅂᵔ)	8	0.9971233606338501	HN-S	1	0	0	0	1	4	0	1	1
(ﾉ◕ヮ◕)	9	0.9970679879188538	HP-S	1	4	0	4	0	0	0	0	0
(ᵒ̌ᵃᵒ̌)	4	0.9970436096191406	HP-S	0	1	0	0	1	1	1	0	0
(〃ﾟ3ﾟ〃)	3	0.9969208240509033	HN-D	0	0	0	0	1	1	1	0	0
(＾▽＾)	3	0.9968776106834412	LP	0	0	2	0	0	0	0	1	0
(ﾟ‿ﾟ)	5	0.9968716502189636	LP	1	1	2	0	0	0	0	1	0
(´艸`)	25	0.9968240261077881	LN	0	0	2	0	7	5	9	0	2
(=^-ω^-=)	3	0.9968151450157166	LP	1	0	1	0	0	0	0	1	0
(ᵔ‿ᵔ)	6	0.9967038035392761	HN-D	0	1	0	0	3	0	1	0	1
(≧ω≦)	15	0.9966649413108826	NP	2	1	2	6	1	0	0	1	2
(´ω`)	59	0.9966475367546082	LN	7	4	2	7	9	8	10	2	10
(⁄	10	0.9966451525688171	LN	1	1	1	1	0	0	2	2	2
(╥_╥)	19	0.9966192245483398	HN-D	0	1	0	0	7	5	3	1	2
(ﾟ◕‿ﾟ)	5	0.9966182708740234	HB	1	0	0	0	0	1	0	0	3
(・‿・)	46	0.9966036677360535	NP	2	0	8	23	0	0	0	10	3
(⁎˃‿˂⁎)	7	0.9965710639953613	NP	0	0	3	4	0	0	0	0	0
(╯°□°)	51	0.9965103268623352	HN-D	3	3	1	1	15	12	10	1	5
(¬‿¬)	6	0.9964898824691772	HP-D	3	0	0	0	1	1	1	0	0
(ᵒ̌ᵐᵒ̌)	4	0.9964691996574402	HN-S	0	1	0	0	1	2	0	0	0
(^‿^)	3	0.9963708519935608	HP-S	0	2	1	0	0	0	0	0	0
(╥﹏╥)	29	0.9963645339012146	HN-D	2	0	0	0	11	9	5	1	1
(・̀ω・́)	49	0.9963531494140625	HP-D	10	2	5	9	2	4	4	7	6
(ﾟдﾟ)	34	0.996344804763794	HN-D	1	3	1	2	11	9	3	2	2
(ﾟヘﾟ)	3	0.9963371753692627	HN-S	0	0	0	0	1	2	0	0	0
(ᵔㅅᵔ)	7	0.9962280988693237	HN-D	3	0	1	0	3	0	0	0	0
(๑˃‿˂)	13	0.9961742162704468	HP-S	0	10	0	0	1	1	1	0	0
(＾‿＾)	81	0.9961519837379456	NP	17	10	6	18	0	3	2	11	14
(˘³˘)	32	0.9961475133895874	LN	1	0	8	2	4	2	12	2	1
(⊙_☉;)	5	0.9961265325546265	HN-S	0	0	0	0	0	3	1	0	1
(ᵔᴥᵔ)	70	0.9961099624633789	HN-D	4	8	3	2	17	11	14	2	9
(´▽`)	7	0.996089518070221	HP-S	1	2	0	1	0	1	2	0	0
(ᵔㅜᵔ)	5	0.9960806965827942	HP-D	3	0	0	1	1	0	0	0	0
(⁀ᗜ⁀)	25	0.9960796236991882	LN	2	3	1	2	2	5	6	0	4
(⊙_⊙;)	4	0.9960111379623413	LP	0	0	1	0	1	1	0	0	1
(^_^)	22	0.9959604740142822	NB	0	3	4	6	0	0	0	8	1
(◕‿◕✿)	48	0.9959598779678345	NB	6	6	7	2	2	2	1	11	11
(・_・)	79	0.995952844619751	LN	12	4	2	0	11	11	16	11	12
(=^-^=)	10	0.9959408044815063	LP	2	0	2	0	0	1	2	1	2
(=^-ω-^=)	34	0.9959309101104736	NB	5	4	3	3	3	4	3	6	3
(^-^)	28	0.9958717823028564	NB	1	0	4	5	1	0	2	12	3
(☞ﾟヮﾟ)	5	0.9958299398422241	HN-S	0	0	1	0	0	2	1	1	0
(✿╹‿╹)	23	0.9957952499389648	NB	3	2	5	2	2	1	1	6	1
(^▽^)	22	0.9957888126373291	NB	4	4	2	4	0	0	0	6	2
(´∀`)	4	0.9957302808761597	HP-S	0	1	1	1	0	0	0	0	1
