first_word	n	median_within_consistency	dominant_quadrant	HP-D_n	HP-S_n	LP_n	NP_n	HN-D_n	HN-S_n	LN_n	NB_n	HB_n
(¬_¬)	3	1.0	HB	0	0	0	0	0	0	0	0	3
(ง・̀_・́)	3	1.0	HN-D	0	0	0	0	3	0	0	0	0
(｡・ω・｡)	3	0.9996476769447327	LP	0	0	3	0	0	0	0	0	0
(｡・́‿・̀｡)	5	0.9993753433227539	LN	0	0	0	0	0	2	3	0	0
(｡>﹏<｡)	5	0.9991946220397949	HN-S	0	0	0	0	0	5	0	0	0
(★ω★)	5	0.999116063117981	HP-S	0	5	0	0	0	0	0	0	0
(ﾉ◕ヮ◕)	20	0.9990941286087036	HP-S	0	19	0	1	0	0	0	0	0
(˘ڡ˘)	9	0.9989851117134094	LP	0	0	9	0	0	0	0	0	0
(｡‿‿‿｡)	18	0.9988394975662231	LP	0	0	18	0	0	0	0	0	0
(˙꒳˙)	8	0.9988253712654114	NB	0	0	0	0	0	0	0	8	0
(￢_￢)	4	0.9988151788711548	HB	0	0	0	0	0	0	0	0	4
(≧▽≦)	12	0.998811662197113	HP-S	0	12	0	0	0	0	0	0	0
(・̀ω・́)	8	0.9987800717353821	NB	1	0	0	0	0	0	0	7	0
(｡・̀‿-)	18	0.998775839805603	NB	0	0	0	1	0	0	0	17	0
(・_・)	10	0.9987615346908569	NB	0	0	0	0	0	0	0	10	0
(｡╯︵╰｡)	39	0.9986891746520996	LN	0	0	0	0	0	0	39	0	0
(⊙﹏⊙)	21	0.9986151456832886	HN-S	0	0	0	2	0	19	0	0	0
(˘̩╭╮˘̩)	12	0.9985958933830261	LN	0	0	0	1	0	2	9	0	0
(◕‿◕)	6	0.9985359907150269	NP	1	2	0	3	0	0	0	0	0
(͡°͜ʖ͡°)	82	0.9985044598579407	HP-D	80	0	0	2	0	0	0	0	0
(˘ω˘)	17	0.9984427094459534	LP	1	0	12	4	0	0	0	0	0
(｡˃‿˂)	23	0.9984369874000549	HP-S	1	11	0	11	0	0	0	0	0
(｡・ㅅ・｡)	5	0.9984092116355896	LP	0	0	4	0	0	1	0	0	0
(｡◕‿◕｡)	87	0.9983404874801636	NB	2	0	8	7	0	0	0	70	0
(´▽`)	15	0.9981573224067688	LP	0	0	10	3	0	0	0	2	0
(˘▽˘)	37	0.9981470704078674	NP	0	5	2	29	0	0	0	1	0
(｡♥‿♥｡)	102	0.9981287121772766	NP	5	6	42	49	0	0	0	0	0
(´ω`)	12	0.9980645179748535	LN	0	0	3	0	0	2	7	0	0
(✿◠‿◠)	39	0.9980538487434387	LP	1	3	20	9	0	0	0	6	0
(╯°□°)	172	0.9979875087738037	HN-D	1	1	0	6	134	9	0	0	21
(‿‿‿)	8	0.9978691339492798	LP	0	0	4	0	0	0	0	4	0
(｡・́︿・̀｡)	149	0.9978054761886597	LN	1	0	0	0	2	47	98	0	1
(๑˃‿˂)	165	0.9975292086601257	HP-S	45	77	11	28	0	0	0	4	0
(╥﹏╥)	12	0.9970359802246094	HN-S	0	4	0	0	1	5	2	0	0
(⊙_⊙)	242	0.9966869354248047	HB	14	0	0	0	14	58	0	25	131
(°д°)	3	0.9966496229171753	HN-S	0	0	0	0	1	2	0	0	0
